order_id,customer_id,customer_name,age,gender,email,phone,city,state,country,pincode,product_name,category,quantity,unit_price_inr,discount_percent,total_price_inr,order_date,delivery_date,payment_method,order_status,seller,rating,review_text,return_requested,loyalty_points
ORD007508,CUST05540,Maria Johnson,33,Female,mariajohnson611@outlookcom,875-262-7809,Berlin,Tokyo,Japan,610524,Cookbook,electronics,,28356.56,30,39699.18,1/2/2022,12/26/2021,UPI,RETURNED,HealthFirst,6,Will buy again,,235
ORD000823,CUST00738,John Singh,0,Female,john.singh75@gmail.com,691-410-1679,BANGALORE,Karnataka,India,386434,SNEAKERS,Books,7,17614.6,50,61651.1,2/12/2023,2/25/2023,EMI,Delivered,TechMart,4,Excellent value,N/A,2439
ORD011746,CUST00589,Omar Nair,22,Other,omar.nair467@outlook.com,650-118-5911,Mumbai,Maharashtra,India,520162,HAIR OIL,electronics,9,45428.72,25,306643.86,5/24/2024,6/9/2024,UPI,delivered,AutoDeals,4,Not worth it,No,4520
ORD006231,CUST01447,Amit Wang,30,Other,N/A,7057988639,Bangalore,,India,341895,Car Wax,Grocery,7,3226.09,,18066.1,16/12/2021,1/5/2022,Net Banking,delivered,BookWorld,,.,Yes,2731
ORD001251,CUST00533,Wei Kim,36,Female,wei.kim925@gmail.com,709-376-7015,Jaipur,Uttar Pradesh,IN,746990,Basmati Rice,Books,7,20066.35,15,119394.78,1/25/2021,1/28/2021,Net Banking,Returned,JewelBox,1,na,No,394
ORD006506,CUST05967,Wei Jones,30,Male,wei.jones624@outlook.com,628-441-3171,Lagos,Lagos State,Canada,742546,Olive Oil,Beauty,9,36128.67,,276384.33,8/21/2024,8/30/2024,upi,Cancelled,,3,N/A,,3289
ORD008956,CUST05898,Aarav Ali,64,Female,aarav.ali388@gmail.com,666-478-8257,Ahmedabad,Rajasthan,India,254028,Watch,Grocery,3,28096.18,20,67430.83,1/2/2023,1/15/2023,Net Banking,canceled,techmart,4,Poor packaging,,1051
,CUST06933,Maria Nair,44,Male,maria.nair192@hotmail.com,841-254-6213,Chennai,Tamil Nadu,India,,T-Shirt,TOYS,9,1771.68,20,12756.1,7/4/2024,7/14/2024,Debit Card,Pending,BookWorld,2,Not worth it,No,3201
ORD000588,CUST00973,amit smith,61,Other,amit.smith620@yahoo.com,,Kolkata,West Bengal,India,248116,TV,Sports ,10,4942.61,30,34023.75,3/22/2021,4/13/2021,Credit Card,canceled,TechMart,5,Will buy again,yes,2392
ORD002105,CUST02860,Zhang Williams,22,Other,zhangwilliams99@yahoocom,646-129-8964,Ahmedabad,Rajasthan,India,576732,Bookshelf,Sports,4,29545.95,20,94547.04,10/29/2022,11/12/2022,Debit Card,RETURNED,HealthFirst,-1,Poor packaging,NO,3739
ORD005281,CUST01305,Fatima Shah,29,,fatima.shah879@hotmail.com,763-836-3302,Kolkata,West Bengal,INDIA,781384,Action Figure,Clothing,3,9999999,30,20999997.9,9/3/2024,9/22/2024,Credit Card,Processing,BeautyPlus,4,,No,1113
ORD004901,CUST07828,Emma Chen,45,Female,emma.chen366@gmail.com,898-450-1560,Jaipur,Uttar Pradesh,India,389323,Smartphone,CLOTHING,9,9999999,15,76499992.35,12/1/2021,12/7/2021,Cash on Delivery,Cancelled,AutoDeals,,Disappointed,,4931
ORD011680,CUST06951,Sofia Martinez,58,Other,sofia.martinez70@yahoo.com,645-561-8390,Toronto,Texas,Singapore,171264,Bed Frame,Automotive,4,32709.08,20,104669.06,4/29/2024,5/10/2024,Debit Card,Cancelled,BookWorld,,.,NO,1798
ORD006581,CUST02258,Aarav Sharma,36,Male,,940-993-9609,Jaipur,Uttar Pradesh,India,728844,Bed Frame,Clothing,5,9968.91,15,42367.87,12/14/2023,1/12/2024,,Processing,HomeEssentials,1,Not worth it,,
ORD001545,CUST03065,Aarav Lee,56,Male,aarav.lee611@gmail.com,609-973-4525,Toronto,Texas,Canada,456610,JACKET,Jewelry,8,0,20,,9/10/2022,9/24/2022,Cash on Delivery,SHIPPED,TechMart,-1,Very satisfied,NO,437
ORD004523,CUST00772,Sofia Shah,59,Other,sofia.shah307@outlook.com,697-724-8495,Singapore,NSW,Nigeria,166200,Earrings,Sports ,9,3535.7,5,30230.23,12/6/2021,12/1/2021,Wallet,Cancelled,FASHION HUB,4,Will buy again,N/A,1872
ORD009339,CUST06416,,24,Male,olivia.wang681@gmail.com,946-304-5538,,Victoria,Germany,103272,Lipstick,Clothing,6,47013.56,5,267977.29,,5/2/2021,Credit Card,Delivered,BeautyPlus,-1,Will buy again,N/A,1876
ORD002135,CUST02139,Li Khan,54,Other,,738-852-6630,Tokyo,Victoria,Germany,,Olive Oil,Electronics,2,43797.06,110,87594.12,2/6/2023,8/3/2023,N/A,RETURNED,BeautyPlus,1,.,,4008
ORD005267,CUST00165,Sofia Smith,32,Other,sofia.smith800@yahoo.com,652-672-7844,MUMBAI,Maharashtra,India,563468,KURTA,Sports ,8,12163.16,30,68113.7,10/8/2020,7/11/2020,Debit Card,Processing,BookWorld,0,,N/A,1047
ORD005408,CUST05756,Carlos Kim,72,Female,carlos.kim718@hotmail.com,678-865-3683,Paris,Ile-de-France,UK,511744,Mixer,Sports,5,-99,50,-247.5,5-Aug-21,8/27/2021,,Processing,FurnitureCo,,Excellent value,,
ORD007284,CUST04015,anjali ali,70,,anjali.ali308@gmail.com,859-431-3855,Sydney,Florida,Singapore,517969,CRICKET BAT,Toys,4,38799.31,30,108638.07,2/14/2024,3/12/2024,Credit Card,Pending,SportZone,3,Poor packaging,NO,
ORD008883,CUST07034,Wei Singh,37,Female,wei.singh186@gmail.com,825-585-5155,Pune,Gujarat,India,474515,Football,Automotive ,3,16295.5,110,48886.5,4/28/2023,5/12/2023,Net Banking,processing ,Book World ,2,Poor packaging,,2453
ORD010958,CUST05642,James Wang,24,Other,james.wang495@hotmail.com,728-593-,New York,New York,Germany,331147,Earrings,Grocery,1,42762.49,15,36348.12,3/12/2024,3/22/2024,Net Banking,delivered,AutoDeals,5,,Yes,
ORD000882,CUST01050,Zara Garcia,67,Female,zara.garcia457hotmail.com,937-923-9538,London,California,UAE,552959,Doll,Toys,7,26734.8,20,149714.88,4/1/2024,4/25/2024,Wallet,canceled,HealthFirst,5,,,4866
ORD011978,CUST02076,Juan Williams,31,Female,juan.williams351@gmail.com,733-529-1443,Mumbai,,India,162261,Sunscreen,Automotive,9,402.85,50,1812.83,6/24/2024,7/22/2024,Net Banking,pending,BeautyPlus,,.,yes,3776
ORD005142,CUST04957,David Verma,32,Male,david.verma864@yahoo.com,,Toronto,Texas,Japan,747872,Tyre Gauge,Sports,10,14718.66,5,139827.27,,4/2/2020,EMI,delivered,ToyLand,1,na,,671
ORD003633,CUST02596,Vikram Patel,34,Other,vikram.patel779@hotmail.com,674-597-5814,Paris,Ile-de-France,Canada,314217,Phone Holder,Books,7,2358.82,50,8255.87,11/14/2021,12/8/2021,Debit Card,canceled,BeautyPlus,3,Average quality,No,24
ORD005680,CUST06490,James Lopez,71,Male,,750-497-8962,Singapore,NSW,Australia,241839,Lego Set,beauty,3,,5,1642.26,N/A,6/10/2020,Wallet,pending,FASHION HUB,3,.,,1301
ORD001633,CUST00200,Kavya Shah,52,Male,kavya.shah327@gmail.com,628-569-9448,London,California,USA,895286,Earrings,Health,7,6100.16,0,42701.12,3/16/2022,3/27/2022,Debit Card,Shipped,FashionHub,1,.,N/A,3894
ORD011887,CUST04524,Ali Reddy,42,Male,ali.reddy987@hotmail.com,913-910-2655,Lagos,Lagos State,USA,458572,Earrings,Home & Kitchen,4,42149.28,0,168597.12,1/20/2020,2/6/2020,Credit Card,canceled,ToyLand,,,N/A,2063
ORD001582,CUST05556,Emily Chen,19,Female,,868-394-2789,Toronto,Texas,Germany,773986,Biography,Automotive,8,46212.13,10,332727.34,12/30/2023,1/27/2024,Cash on Delivery,Delivered,HomeEssentials,,,yes,4931
ORD010773,CUST01016,Juan Brown,45,Other,juan.brown177@outlook.com,,,Karnataka,India,220610,Honey,Electronics,,0,30,,6/9/2023,2023.06.29,UPI,Cancelled,techmart,,Great product!,,223
ORD011600,CUST04184,Wei Patel,999,Female,wei.patel352@hotmail.com,999-474-5006,Kolkata,West Bengal,India,998736,FICTION NOVEL,Furniture,5,7412.51,5,20290.58,1/29/2021,2/17/2021,Cash on Delivery,Shipped,JewelBox,,Loved it!,,4724
ORD004517,CUST06112,Maria Lee,69,Male,maria.lee670@hotmail.com,740-643-4017,Lagos,Lagos State,Nigeria,762752,Lipstick,Furniture,8,11908.15,20,76212.16,9/27/2021,10/4/2021,Net Banking,Processing,Book World ,,Loved it!,N/A,2998
ORD002177,CUST03328,Juan Nair,25,Female,juan.nair171@gmail.com,924-419-2123,Hyderabad,Telangana,India,666885,Tyre Gauge,Toys,5,36503.96,30,127763.86,5/11/2021,5/30/2021,UPI,Shipped,TechMart,,,,3369
ORD004991,CUST01213,Mei Garcia,26,Male,mei.garcia595@gmail.com,773-873-2216,Lucknow,Punjab,india,586712,Perfume,CLOTHING,8,,15,233251.42,,4/20/2021,UPI,Shipped,FurnitureCo,0,Disappointed,No,968
ORD005347,CUST05982,Mei Singh,21,Male,mei.singh913@hotmail.com,,Sydney,Florida,Singapore,,Lego Set,CLOTHING,5,21351.59,30,,,8/8/2024,Credit Card,Shipped,techmart,2,na,No,4650
,CUST01764,Fatima Gupta,52,Female,fatima.gupta171@outlook.com,,Delhi,Delhi,,131801,Turmeric Powder,Books,9,580.43,15,7155.17,11/13/2020,12/5/2020,Wallet,Processing,SportZone,5,.,N/A,2520
ORD007809,CUST07777,Wei Chen,75,Male,wei.chen145@hotmail.com,868-161-4661,Pune,Gujarat,India,999527,Data Science Book,Automotive,1,6242.73,30,4369.91,10/5/2020,10/27/2020,Cash on Delivery,canceled,TechMart,5,,NO,1572
ORD006916,CUST02658,Vikram Shah,33,Other,vikram.shah249@outlook.com,695-876-1945,New York,New York,UK,389140,Cycling Helmet,Grocery,9,22990.73,25,155187.43,6/26/2020,7/13/2020,EMI,Pending,ToyLand,5,Disappointed,NO,2756
ORD001814,CUST02232,James Martinez,71,Male,james.martinez196@hotmail.com,646-800-2926,Singapore,NSW,Nigeria,935836,Shoes,Toys,2,29625.92,25,44438.88,,5/24/2023,Cash on Delivery,Pending,FashionHub,4,Loved it!,,3547
ORD000643,CUST02006,David Verma,35,Other,david.verma325@gmail.com,000-000-0000,,New York,Singapore,162344,Office Chair,CLOTHING,6,22743.94,10,122817.28,4/20/2021,4/24/2021,EMI,Returned,BookWorld,3,N/A,NO,134
ORD000589,CUST04874,Sneha Johnson,,M,sneha.johnson7@yahoo.com,793-860-9531,Singapore,,Australia,424721,Cookbook,Automotive ,8,2409.18,0,19273.44,1/12/2024,2/7/2024,Wallet,RETURNED,BookWorld,1,,No,3473
ORD011470,CUST05987,Omar Wang,26,Female,omar.wang717@gmail.com,794-934-5068,Dubai,Ontario,France,,Silver Necklace,Furniture,6,13921.55,25,62646.97,8/9/2020,8/31/2020,Debit Card,pending,Book World ,,Great product!,N/A,4725
ORD001381,CUST00098,Aarav_Patel,40,Female,aarav.patel515@gmail.com,N/A,London,California,Australia,0,Dash Cam,Toys,2,18718.23,25,28077.35,2/25/2024,3/2/2024,UPI,delivered,SportZone,,Will buy again,,-100
ORD003753,CUST03251,Wei Singh,19,Other,wei.singh614@yahoo.com,790-359-1052,Bangalore,Karnataka,India,649866,Lipstick,Health,2,25279.25,50,22264.71,3/15/2020,3/23/2020,Net Banking,SHIPPED,TechMart,3,Fast delivery,Yes,2931
ORD005533,CUST02697,Sneha Shah,22,Male,sneha.shah809@yahoo.com,602-550-5266,,Lagos State,Germany,,Board Game,Beauty,1,9919.28,10,8927.35,,9/3/2023,UPI,Returned,FASHION HUB,,Great product!,Yes,3108
ORD007672,CUST03585,Vikram Kim,59,Other,vikram.kim833@yahoo.com,832-410-3544,TOKYO,Victoria,USA,200281,Study Table,,7,24796.67,10,156219.02,12/15/2020,12/17/2020,Cash on Delivery,Cancelled,FurnitureCo,3,Disappointed,No,1443
ORD011264,CUST06341,Chris Khan,31,Female,,621-960-1589,Chennai,Tamil Nadu,,911968,STUDY TABLE,Sports,,10313.99,0,20627.98,7/5/2020,7/28/2020,Cash on Delivery,Shipped,AutoDeals,,Great product!,,2468
ORD001391,CUST00796,Rohan Khan,,Male,rohan.khan753@yahoo.com,848-359-3433x123,,Lagos State,UAE,595819,Study Table,Books,2,31547.63,20,50476.21,,11/18/2022,Wallet,Cancelled,BookWorld,,N/A,yes,4869
ORD003239,,Zhang Kumar,25,Other,zhang.kumar180@gmail.com,788-116-7326,Jaipur,Uttar Pradesh,India,525044,Dumbbells,Electronics,1,35225.17,0,35225.17,12/4/2022,12/29/2022,EMI,Shipped,FASHION HUB,5,.,,2922
ORD006357,CUST05707,Anjali Shah,66,Female,anjali.shah715@outlook.com,791-869-3948,Singapore,NSW,UK,942698,Fiction Novel,Automotive ,999,3874.07,15,3289666.54,11/23/2024,12/7/2024,Wallet,Delivered,HomeEssentials,1,Poor packaging,,3792
ORD006782,CUST04067,Pooja Patel,30,N/A,pooja.patel346@gmail.com,881-213-5202,Ahmedabad,Rajasthan,,671973,Phone Holder,Toys,6,,30,,10/5/2023,10/21/2023,UPI,Processing,FashionHub,3,N/A,yes,3324
ORD006350,CUST00355,Pooja Williams,22,Female,,958-402-9070,New York,New York,Canada,325013,Thermometer,Toys,9,12338.25,10,99939.82,7/23/2020,7/28/2020,Net Banking,RETURNED,TechMart,,Average quality,,4152
ORD003622,CUST00413,Vikram Kumar,25,Female,vikram.kumar985@outlook.com,782-110-4039,Bangalore,Karnataka,India,326281,Lego Set,Books,9,14240.97,,128168.73,12/31/2020,1/26/2021,Cash on Delivery,processing ,TechMart,1,Excellent value,,1490
ORD009178,CUST01293,Rahul Kumar,48,Male,rahul.kumar241@outlook.com,765-294-3644,Mumbai,Maharashtra,India,121810,Smartwatch,Automotive ,6,47269.51,30,394552.57,9/21/2021,10/19/2021,Net Banking,canceled,TechMart,3,Will buy again,NO,636
ORD003649,CUST06191,Vikram Ali,52,Female,vikram.ali224@gmail.com ,739-671-4454,Delhi,Delhi,India,649813,Bed Frame,Automotive,5,38620.89,10,173794.01,4/27/2024,5/10/2024,Wallet,,GrocerBay,1,Excellent value,,1591
ORD009618,,Zhang Singh,23,,,850-814-4714,Chennai,Tamil Nadu,India,355410,Wardrobe,CLOTHING,8,20167.28,50,80669.12,1/27/2020,2/8/2020,Net Banking,Returned,techmart,3,,,2981
ORD010965,CUST00012,Priya Shah,69,Male,priya.shah963@yahoo.com,779-173-3787,Berlin,,,910672,Data Science Book,books ,10,0,,,11/29/2021,,Cash on Delivery,RETURNED,TechMart,1,Average quality,NO,3796
ORD003972,CUST07750,Pooja Brown,50,,pooja.brown756@outlook.com,6551218958,Berlin,Tokyo,UK,105358,DUMBBELLS,Jewelry,7,26383.71,30,129280.18,8/15/2021,8/26/2021,Debit Card,processing ,HealthFirst,0,na,,
ORD005456,CUST07736,Sarah Singh  ,50,Other,sarahsingh448@gmailcom,811-982-8552,Jaipur,Uttar Pradesh,India,806572,Multivitamin,Sports,10,17147.97,20,137183.76,6/23/2021,7/8/2021,Debit Card,SHIPPED,HomeEssentials,,,,1625
ORD008646,CUST02202,Emma Kim,20,Male,emma.kim716@gmail.com,,Ahmedabad,Rajasthan,U.S.A,716607,BRACELET,Beauty,10,17606.62,10,158459.58,9/13/2024,9/19/2024,Net Banking,,FASHION HUB,,.,yes,1044
ORD000092,CUST00675,Amit Gupta,67,Male,amit.gupta216@yahoo.com,817-955-2702,Sydney,Florida,U.S.A,,Cricket Bat,beauty,4,20411.26,30,86295.84,12/31/2022,1/1/2023,credit card,Pending,FurnitureCo,5,N/A,N/A,4968
,CUST07366,Jessica Chen,34,f,jessica.chen587@outlook.com,797-990-8421,Sydney,Florida,Australia,703098,Car Wax,TOYS,2,3540.59,5,6727.12,12/10/2023,12/29/2023,UPI,Pending,,2,N/A,NO,177
ORD001039,CUST02144,Ali Lee,30,Female,ali.lee58@yahoo.com,7639569191,Toronto,Texas,Germany,317748,Football,Automotive ,7,24815.98,15,147655.08,9-Mar-20,,EMI,Cancelled,SportZone,3,Average quality,,999999
,CUST04259,Ali Nair,28,Female,ali.nair576@hotmail.com,860-747-8830,Tokyo,Victoria,Australia,274216,Biography,Books,4,0,10,,12/27/2024,1/11/2025,EMI,Pending,ToyLand,-1,Excellent value,No,755
ORD007081,CUST03112,Michael Lopez,66,Male,michael.lopez373@gmail.com,716-441-5970,Hyderabad,Telangana,India,521000,Watch,beauty,-1,9967.78,20,-7974.22,9/13/2023,10/9/2023,,pending,FashionHub,2,Average quality,,3629
ORD007718,CUST03437,Sofia Singh,25,Other,sofia.singh482@hotmail.com,826-557-4004,Lucknow,Punjab,Germany,,Honey,Health,10,42849.18,25,321368.85,1/27/2020,1/29/2020,UPI,processing ,FurnitureCo,,,Yes,4076
ORD000809,CUST00099,Li_Garcia,,Female,li.garcia248@yahoo.com,850-586-4614,London,California,UK,565371,Lipstick,Furniture,2,46883.59,30,65637.03,12/30/2024,1/21/2025,Wallet,canceled,TechMart,3,,,1137
ORD004963,CUST07182,Ali Garcia,64,Other,ali.garcia325@outlook.com,886-753-3724,Sydney,Florida,UAE,508930,SUNSCREEN,Electronics,9,46604.34,25,314579.29,4/18/2020,5/15/2020,Credit Card,Pending,FASHION HUB,,Not worth it,Yes,1326
ORD007309,CUST01906,Amit Lee  ,75,Other,amit.lee463@yahoo.com,827-301-3957,Pune,Gujarat,India,839187,Cycling Helmet,Sports ,9,37920.15,30,238896.95,8/8/2024,9/1/2024,Net Banking,Shipped,HealthFirst,4,Loved it!,Yes,3747
ORD005071,CUST04895,David Garcia,72,,david.garcia958@gmail.com,735-166-1488,Ahmedabad,Rajasthan,India,277789,Board Game,Home & Kitchen,10,2346.07,30,16422.49,11/21/2020,,Debit Card,pending,BeautyPlus,,.,,-100
ORD007872,CUST06272,Emma_Gupta,38,male,emma.gupta693@yahoo.com,916-693-7984,Berlin,Tokyo,Singapore,,Lipstick,Jewelry,,,10,,8/29/2023,8/30/2023,Debit Card,Returned,Book World ,1,,NO,4936
ORD005115,CUST07817,Priya Mehta,63,Female,priya.mehta979@gmail.com,804-928-5621,Singapore,NSW,USA,979486,Dash Cam,Automotive ,5,12441.89,10,55988.5,,,Credit Card,SHIPPED,GrocerBay,0,na,,-100
ORD010216,CUST00038,Juan Kumar,69,Other,juan.kumar181@hotmail.com,6754877259,Chennai,Tamil Nadu,India,976929,Dumbbells,Beauty,6,23416.92,0,140501.52,9/4/2020,9/22/2020,Wallet,Delivered,JewelBox,6,Very satisfied,N/A,3531
ORD002478,CUST04930,,48,Other,zhang.sharma289@gmail.com,,Lucknow,Punjab,Nigeria,0,Bracelet,Clothing,999,38610.04,30,27000000.97,4/17/2021,5/10/2021,Wallet,Pending,FurnitureCo,2,Poor packaging,Yes,2876
